route_id,source_location,destination_location,route_name,planned_distance_km,terrain_type
RID_001,Erode,Coimbatore,Erode-Coimbatore,358,Industrial
RID_002,Madurai,Coimbatore,Madurai-Coimbatore,544,Highway
RID_003,Salem,Madurai,Salem-Madurai,597,Industrial
RID_004,Hosur,Trichy,Hosur-Trichy,181,Mixed
RID_005,Dindigul,Trichy,Dindigul-Trichy,229,Industrial
RID_006,Chennai,Coimbatore,Chennai-Coimbatore,155,Mixed
RID_007,Madurai,Hosur,Madurai-Hosur,-135,Highway
RID_008,Vellore,Hosur,Vellore-Hosur,592,Highway
RID_009,Trichy,Tirunelveli,Trichy-Tirunelveli,311,Highway
RID_010,Chennai,Salem,Chennai-Salem,225,Highway
RID_011,Coimbatore,Salem,Coimbatore-Salem,229,Mixed
RID_012,Thoothukudi,Tirunelveli,Thoothukudi-Tirunelveli,166,Highway
RID_013,Trichy,Thoothukudi,Trichy-Thoothukudi,279,Industrial
RID_014,Hosur,Salem,Hosur-Salem,210,Industrial
RID_015,Thanjavur,Erode,Thanjavur-Erode,156,Ghat
RID_016,Trichy,Madurai,Trichy-Madurai,477,Ghat
RID_017,Thanjavur,Vellore,Thanjavur-Vellore,427,Ghat
RID_018,Thoothukudi,Madurai,Thoothukudi-Madurai,548,Industrial
RID_019,Tirunelveli,Hosur,Tirunelveli-Hosur,175,Industrial
RID_020,Madurai,Thoothukudi,Madurai-Thoothukudi,375,Industrial
RID_021,Thoothukudi,Erode,Thoothukudi-Erode,313,Mixed
RID_022,Erode,Madurai,Erode-Madurai,344,Industrial
RID_023,Erode,Vellore,Erode-Vellore,322,Highway
RID_024,Vellore,Chennai,Vellore-Chennai,491,Mixed
RID_025,Trichy,Thanjavur,Trichy-Thanjavur,233,Highway
RID_026,Trichy,Chennai,Trichy-Chennai,448,Industrial
RID_027,Thanjavur,Trichy,Thanjavur-Trichy,206,Mixed
RID_028,Tirunelveli,Thanjavur,Tirunelveli-Thanjavur,282,Industrial
RID_029,Erode,Tirunelveli,Erode-Tirunelveli,-79,Ghat
RID_030,Thoothukudi,Trichy,Thoothukudi-Trichy,209,Mixed
RID_031,Dindigul,Thoothukudi,Dindigul-Thoothukudi,208,Highway
RID_032,Coimbatore,Hosur,Coimbatore-Hosur,511,Highway
RID_033,Thoothukudi,Vellore,Thoothukudi-Vellore,314,Highway
RID_034,Trichy,Hosur,Trichy-Hosur,291,Mixed
RID_035,Chennai,Trichy,Chennai-Trichy,392,Industrial
RID_036,Dindigul,Vellore,Dindigul-Vellore,178,Industrial
RID_037,Salem,Thoothukudi,Salem-Thoothukudi,280,Industrial
RID_038,Salem,Dindigul,Salem-Dindigul,472,Ghat
RID_039,Trichy,Salem,Trichy-Salem,412,Highway
RID_040,Hosur,Coimbatore,Hosur-Coimbatore,198,Industrial
